"INITCAP(REGEXP_REPLACE(GRAPH, '_', ' '))",NODE_DISTANCE,"INITCAP(REGEXP_REPLACE(STARTING_NODE, '_', ' '))","INITCAP(REGEXP_REPLACE(ENDING_NODE, '_', ' '))",ARRAY_AGG(INITCAP(IEVENT)),ROUND(AVG(INTENSITY))
Pepsico Inc,2,Intercontinental Exchange,K12 Inc,"[
  ""Protest""
]",1
Pepsico Inc,3,Seattle Genetics Inc,Genmab A/S,"[
  ""Clinical Trial""
]",7470
Pepsico Inc,3,Crossamerica Partners Lp,Cst Brands Llc,"[
  ""Breach Of Contract""
]",3789
Pepsico Inc,3,Abraxas Petroleum Corp,Gmx Resources Inc,"[
  ""Bankruptcy""
]",8
Pepsico Inc,3,Icahn Enterprises Lp,White Mountains Insurance Group,"[
  ""Bankruptcy""
]",17166
Alphabet Inc,3,Genpact Ltd,General Electric Company,"[
  ""Bankruptcy""
]",544960
Alphabet Inc,2,Intercontinental Exchange,Whiting Petroleum Corp,"[
  ""Bankruptcy""
]",1
Alphabet Inc,3,Agios Pharmaceuticals Inc,Ideaya Biosciences Inc,"[
  ""Clinical Trial""
]",140
Alphabet Inc,2,Google,Oracle Corp,"[
  ""Sanctions"",
  ""Litigation""
]",324001
Alphabet Inc,2,Intercontinental Exchange,Jdcom Inc,"[
  ""Fraud""
]",1
Microsoft Corp,3,Xilinx Inc,Zte Corp,"[
  ""Sanctions"",
  ""Sanctions""
]",10440
Microsoft Corp,3,Citizens Financial Group Inc,Royal Bank Of Scotland Group Plc,"[
  ""Litigation""
]",217600
Pepsico Inc,1,Pepsico Inc,Cold Spring Capital Inc,"[
  ""Fraud""
]",65
Alphabet Inc,2,Google,Wirecard Ag,"[
  ""Fraud""
]",1
Alphabet Inc,3,Chesapeake Energy Corp,Southern Connecticut Bancorp Inc,"[
  ""Bankruptcy""
]",1574
Pepsico Inc,3,Twist Bioscience Corp,Nasdaq Inc,"[
  ""Sanctions""
]",228996
Coca-Cola Company,3,Halliburton Company,Firstenergy Corp,"[
  ""Investigation""
]",434567
Pepsico Inc,3,J2 Global Inc,Open Text Corp,"[
  ""Litigation""
]",315
Pepsico Inc,2,United States Steel Corp,Marathon Oil Corp,"[
  ""Bankruptcy""
]",1500
Microsoft Corp,3,Nike Inc,Thyssenkrupp Ag,"[
  ""Bankruptcy""
]",252
Microsoft Corp,3,Sony Corp,Anthem Inc,"[
  ""Data Breach""
]",718304
Microsoft Corp,3,Taubman Centers,Westfield Group,"[
  ""Breach"",
  ""Breach""
]",196
Microsoft Corp,3,Moodys Corp /De/,Ims Health Holdings Inc,"[
  ""Dispute""
]",5256
Pepsico Inc,3,Wizard Entertainment Inc,Informa Plc,"[
  ""Breach Of Contract""
]",1281
Pepsico Inc,3,Trine Acquisition Corp,Exone Co,"[
  ""Breach""
]",5220
Pepsico Inc,3,Antero Resources Corp,South Jersey Industries Inc,"[
  ""Breach""
]",35295
Microsoft Corp,3,Nasdaq Inc,Criteo Ltd,"[
  ""Disruption""
]",1224
Pepsico Inc,3,Toyota Motor Corp,Aisin Seiki Co Ltd,"[
  ""Disruption""
]",144
Pepsico Inc,3,Klx Energy Services Holdings Inc,Klx Inc,"[
  ""Breach""
]",207
Microsoft Corp,3,Sabre Corp,Pimco Dynamic Credit Income Fun,"[
  ""Breach""
]",480188
Alphabet Inc,3,Ebay Inc,Jp Morgan Chase And Co,"[
  ""Data Breach""
]",190168596
Jp Morgan Chase And Co,3,Emergent Biosolutions,Valneva Se Ord,"[
  ""Clinical Trial""
]",1000
Jp Morgan Chase And Co,2,Thomson Reuters Corp,New York Times Co,"[
  ""Fraud""
]",1
Pepsico Inc,3,Danaher Corp,Quidel Cp,"[
  ""Litigation""
]",3597
Alphabet Inc,3,Sabre Corp,Frontier Airlines Inc /Co/,"[
  ""Bankruptcy Protection""
]",268
Jp Morgan Chase And Co,3,Nacco Industries Inc,Alleghany Corp,"[
  ""Breach""
]",166
Morgan Stanley International Holdings Inc,3,Momenta Pharmaceuticals Inc,Alexion Pharmaceuticals Inc,"[
  ""Clinical Trial""
]",90
Morgan Stanley International Holdings Inc,3,Nasdaq Inc,Intra-Cellular Therapies Inc,"[
  ""Clinical Trial""
]",216
Morgan Stanley International Holdings Inc,3,Nasdaq Inc,Entasis Therapeutics Holdings Inc,"[
  ""Litigation""
]",288
Goldman Sachs Group Inc,3,Centurylink Inc,Oi Sa,"[
  ""Bankruptcy Protection""
]",1092
Goldman Sachs Group Inc,3,American Apparel Inc,Gildan Activewear Inc,"[
  ""Bankruptcy""
]",450
Goldman Sachs Group Inc,3,T-Mobile Us,Dish Network Corp,"[
  ""Litigation""
]",1792323
Jp Morgan Chase And Co,3,The Travelers Companies Inc,Pacific Gas And Electric Co,"[
  ""Bankruptcy""
]",6100
Alphabet Inc,3,Cytosorbents Corp,Ube Industries Ltd,"[
  ""Removal""
]",40
Microsoft Corp,3,Altice,Frontier Communications Corp,"[
  ""Bankruptcy""
]",10848
Microsoft Corp,3,Four Corners Property Trust In,Darden Restaurants Inc,"[
  ""Bankruptcy""
]",108
Jp Morgan Chase And Co,3,Moodys Corp /De/,Diamond Resorts Corp,"[
  ""Disruption""
]",1929
Jp Morgan Chase And Co,2,Thomson Reuters Corp,Comcast Corp A,"[
  ""Disruption""
]",1
Goldman Sachs Group Inc,3,Microsoft Corp,Nokia Corp,"[
  ""Litigation"",
  ""Removal""
]",949354
Morgan Stanley International Holdings Inc,3,Invesco Ltd,Transenterix Inc,"[
  ""Research""
]",1962
Microsoft Corp,3,Reata Pharmaceuticals Inc,Eliem Therapeutics Inc,"[
  ""Clinical Trial""
]",6
Microsoft Corp,2,Apple Inc,Metro Inc,"[
  ""Fraud""
]",1
Microsoft Corp,2,Intercontinental Exchange,Kbr Inc,"[
  ""Investigation""
]",1
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Ambac Financial Group Inc,"[
  ""Breach Of Contract"",
  ""Breach Of Contract""
]",3213
Alphabet Inc,3,Johnson And Johnson Services Inc,Imerys Sa,"[
  ""Reorganization""
]",576
Jp Morgan Chase And Co,2,Intercontinental Exchange,Zendesk Inc,"[
  ""Data Breach""
]",1
Jp Morgan Chase And Co,3,Cigna Corp,Healthspring Inc,"[
  ""Litigation""
]",3037
Jp Morgan Chase And Co,2,Moodys Corp /De/,Diamond Resorts Corp,"[
  ""Disruption""
]",1
Morgan Stanley International Holdings Inc,3,Ntn Buzztime Inc,Buffalo Wild Wings Inc,"[
  ""Breach""
]",391
Goldman Sachs Group Inc,3,Gap Inc,Inditex Sa,"[
  ""Investigation""
]",352
Goldman Sachs Group Inc,3,London Stock Exchange Group Plc,Euronext Nv,"[
  ""Investigation""
]",11396
Goldman Sachs Group Inc,2,Intercontinental Exchange,Ares Management Gp Llc,"[
  ""Bankruptcy""
]",49
Goldman Sachs Group Inc,3,Nike Inc,Thyssenkrupp Ag,"[
  ""Bankruptcy""
]",360
Goldman Sachs Group Inc,3,White Mountains Insurance Group,Tribune Media Co,"[
  ""Bankruptcy""
]",4800
Jp Morgan Chase And Co,3,Xylem Inc,Centene Corp,"[
  ""Investigation""
]",5526
Jp Morgan Chase And Co,2,Intercontinental Exchange,Sunworks Inc,"[
  ""Breach""
]",1
Goldman Sachs Group Inc,3,Bridgebio Pharma Llc,Spruce Biosciences Inc,"[
  ""Clinical Trial""
]",8
Goldman Sachs Group Inc,3,Sony Corp,Samsung Electronics Gmbh,"[
  ""Sanctions""
]",48688
Goldman Sachs Group Inc,3,Veeva Systems Inc,Medidata Solutions Gmbh,"[
  ""Litigation""
]",174
Goldman Sachs Group Inc,3,Adaptive Biotechnologies Corp,10x Genomics Inc,"[
  ""Clinical Trial""
]",48
Goldman Sachs Group Inc,3,Lockheed Martin Corp,Manulife Financial Corp,"[
  ""Reorganization""
]",7675
Goldman Sachs Group Inc,3,Micron Technology Inc,Rambus Inc,"[
  ""Litigation""
]",1675
Goldman Sachs Group Inc,3,Agios Pharmaceuticals Inc,Global Blood Therapeutics Inc,"[
  ""Clinical Trial""
]",1404
Morgan Stanley International Holdings Inc,3,Hewlett Packard Enterprise Comp,Hp Inc,"[
  ""Litigation""
]",4636115
Jp Morgan Chase And Co,3,Thomson Reuters Corp,Centrais Electricas Brazil,"[
  ""Fraud""
]",24600
Goldman Sachs Group Inc,2,Intercontinental Exchange,Volkswagen Ag,"[
  ""Manipulation""
]",1
Goldman Sachs Group Inc,3,Twitter Inc,Clicks Group Ltd,"[
  ""Shutdown""
]",567
Coca-Cola Company,2,Twitter Inc,Linkedin Corp,"[
  ""Hack""
]",431
Coca-Cola Company,3,Thomson Reuters Corp,Fireeye Inc,"[
  ""Hack""
]",111005
Coca-Cola Company,3,Nordstrom Inc,Signet Jewelers Ltd,"[
  ""Store Closure""
]",1120
Coca-Cola Company,2,Intercontinental Exchange,Fti Consulting Inc,"[
  ""Dispute""
]",1
Coca-Cola Company,3,Archrock Inc,Exterran Corp,"[
  ""Breach"",
  ""Investigation""
]",1202
Coca-Cola Company,3,Fair Isaac Corp,Pegasystems Inc,"[
  ""Fraud""
]",2145
Coca-Cola Company,3,Apple Inc,Electronic Arts Inc,"[
  ""Breach""
]",7992
Coca-Cola Company,3,Fidelity National Financial,Fgl Holdings,"[
  ""Breach""
]",13985
Coca-Cola Company,3,Dentsply Sirona Inc,Dillard's,"[
  ""Litigation""
]",1192
Coca-Cola Company,3,United States Steel Corp,Physicians Realty Trust,"[
  ""Investigation""
]",5626
Coca-Cola Company,3,Mplx Lp,Factset Research Systems Inc,"[
  ""Store Closure""
]",263880
Coca-Cola Company,2,Intercontinental Exchange,Golden Star Resources Ltd,"[
  ""Investigation""
]",1
Coca-Cola Company,3,Meritage Homes Corp,Beazer Homes Usa Inc,"[
  ""Breach Of Contract""
]",220
Pepsico Inc,3,Dxc Technology Company,Hp Inc,"[
  ""Litigation""
]",27610
Microsoft Corp,3,Abbvie Inc,Evolus Inc,"[
  ""Investigation"",
  ""Investigation"",
  ""Investigation""
]",1704
Alphabet Inc,3,Noble Midstream Partners Lp,Brixmor Property Group Inc,"[
  ""Dispute""
]",130371
Alphabet Inc,3,Catalyst Pharmaceuticals Inc,Northwestern Corp,"[
  ""Dispute""
]",2380
Alphabet Inc,3,Maiden Holdings Ltd,Mortgageit Holdings Inc,"[
  ""Breach""
]",1386
Pepsico Inc,3,Arbor Realty Trust,Extended Stay America Inc,"[
  ""Bankruptcy"",
  ""Bankruptcy""
]",1820
Pepsico Inc,3,Energy Fuels Inc,Centrus Energy Corp,"[
  ""Removal""
]",925
Alphabet Inc,2,Nasdaq Inc,Agrofresh Solutions,"[
  ""Litigation""
]",1
Alphabet Inc,2,Google,Fireeye Inc,"[
  ""Hack""
]",1
Alphabet Inc,2,Google,Morphosys Ag,"[
  ""Research""
]",1
Alphabet Inc,2,Intercontinental Exchange,Morningstar Inc,"[
  ""Data Breach""
]",1
Microsoft Corp,3,Alnylam Pharmaceuticals Inc,Arbutus Biopharma Cp,"[
  ""Litigation""
]",210
Pepsico Inc,3,Fiat Chrysler Automobiles Nv,Suzuki Motor Corp,"[
  ""Investigation""
]",200
Pepsico Inc,2,Intercontinental Exchange,Celadon Group Inc,"[
  ""Bankruptcy Protection""
]",1
Alphabet Inc,3,Box Inc,D Box Technologies,"[
  ""Fraud""
]",7887
Alphabet Inc,2,Nasdaq Inc,Hallmark Financial Services Inc,"[
  ""Investigation""
]",1
Coca-Cola Company,3,Credit Suisse Ag,Aimmune Therapeutics Inc,"[
  ""Research""
]",38404
Coca-Cola Company,3,Taubman Centers,Simon Property Group Inc /De/,"[
  ""Breach""
]",5580
Coca-Cola Company,3,American Airlines Group Inc,Citigroup Inc,"[
  ""Breach""
]",222175422
Coca-Cola Company,3,Momenta Pharmaceuticals Inc,Amphastar Pharmaceuticals Inc,"[
  ""Litigation""
]",522
Microsoft Corp,3,Alnylam Pharmaceuticals Inc,Eidos Therapeutics Inc,"[
  ""Clinical Trial"",
  ""Clinical Trial""
]",48
Microsoft Corp,3,Alnylam Pharmaceuticals Inc,Tpc Group Inc,"[
  ""Litigation""
]",2529
Microsoft Corp,3,Entergy Corp,Entergy Arkansas Inc,"[
  ""Investigation""
]",1030
Microsoft Corp,2,Intercontinental Exchange,Pgande Corp,"[
  ""Bankruptcy""
]",1
Microsoft Corp,3,Novartis Ag,Alcon Inc,"[
  ""Investigation""
]",3540
Pepsico Inc,3,Energy Fuels Inc,Eclipse Resources Corp,"[
  ""Removal""
]",3500
Microsoft Corp,3,Delmar Pharmaceuticals Inc,Platform Specialty Products Corp,"[
  ""Clinical Trial""
]",38292
Microsoft Corp,3,Intercontinental Exchange,Nacco Industries Inc,"[
  ""Investigation""
]",600
Microsoft Corp,3,Southern Company,Pgande Corp,"[
  ""Bankruptcy""
]",6495200
Microsoft Corp,3,Centene Corp,Magellan Health Inc,"[
  ""Disruption""
]",17535
Microsoft Corp,3,Caesars Entertainment Corp,International Game Technology,"[
  ""Bankruptcy""
]",4884
Jp Morgan Chase And Co,3,Crossamerica Partners Lp,Southcross Energy Llc,"[
  ""Bankruptcy""
]",80
Jp Morgan Chase And Co,3,Xylem Inc,Exelis Inc,"[
  ""Breach""
]",55
Jp Morgan Chase And Co,3,Cigna Corp,Pentair Plc,"[
  ""Investigation""
]",63656
Goldman Sachs Group Inc,3,Boston Scientific Corp,Edwards Lifesciences Corp,"[
  ""Litigation"",
  ""Litigation""
]",572
Goldman Sachs Group Inc,3,Sprint Corp,Clearwire Corp /De,"[
  ""Breach""
]",5200
Goldman Sachs Group Inc,3,Citigroup Inc,China Evergrande Group,"[
  ""Protest""
]",680
Goldman Sachs Group Inc,3,Toyota Motor Corp,Aisin Seiki Co Ltd,"[
  ""Disruption""
]",912
Morgan Stanley International Holdings Inc,3,Godaddy Inc,Zurich Insurance Co Ltd,"[
  ""Litigation"",
  ""Litigation""
]",360
Goldman Sachs Group Inc,3,Nasdaq Inc,Mannatech Inc,"[
  ""Litigation""
]",946
Microsoft Corp,3,Voyager Therapeutics Inc,Neurocrine Biosciences Inc,"[
  ""Clinical Trial""
]",10160
Jp Morgan Chase And Co,2,Assured Guaranty Ltd,Flagstar Bancorp Inc,"[
  ""Litigation""
]",672
Goldman Sachs Group Inc,2,Uber Technologies Inc,Ebay Inc,"[
  ""Fraud""
]",1
Goldman Sachs Group Inc,3,Enterprise Products Partners L P,Wood Group John Plc,"[
  ""Breach Of Contract""
]",1900
Microsoft Corp,3,Credit Suisse Ag,Unity Biotechnology Inc,"[
  ""Research""
]",5670
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Sunworks Inc,"[
  ""Breach""
]",1
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,World Wrestling Entertainmentinc,"[
  ""Downgrade""
]",1
Microsoft Corp,3,Reata Pharmaceuticals Inc,Abbvie Inc,"[
  ""Breach""
]",362080
Alphabet Inc,3,Thomson Reuters Corp,Anglo American Platinum Ltd,"[
  ""Shutdown""
]",6192
Jp Morgan Chase And Co,3,Regeneron Pharmaceuticals Inc,Sanofi Sa,"[
  ""Litigation""
]",687750
Jp Morgan Chase And Co,2,Intercontinental Exchange,Inovio Pharmaceuticals Inc,"[
  ""Clinical Trial""
]",1
Jp Morgan Chase And Co,3,Gap Inc,Inditex Sa,"[
  ""Investigation""
]",160
Jp Morgan Chase And Co,3,Glaxosmithkline Plc,Vbi Vaccines Inc,"[
  ""Investigation""
]",436
Jp Morgan Chase And Co,3,Qualcomm Inc/De,Fih Mobile Ltd,"[
  ""Breach""
]",1760
Goldman Sachs Group Inc,3,Canadian Pacific Railway Ltd/Cn,Just Energy Group Inc,"[
  ""Bankruptcy""
]",4608
Morgan Stanley International Holdings Inc,3,Ford Motor Company,Kia Motors,"[
  ""Bankruptcy""
]",454
Goldman Sachs Group Inc,3,Agios Pharmaceuticals Inc,Geron Co Ltd,"[
  ""Clinical Trial""
]",1410
Jp Morgan Chase And Co,3,Clearway Energy Inc,Pgande Corp,"[
  ""Bankruptcy""
]",4179200
Goldman Sachs Group Inc,3,Spectrum Pharmaceuticals Inc,Coherus Biosciences Inc,"[
  ""Research""
]",51
Goldman Sachs Group Inc,3,Global Blood Therapeutics Inc,Hope Bancorp Inc,"[
  ""Clinical Trial""
]",174
Goldman Sachs Group Inc,3,Brookfield Property Reit Inc,Rouse Properties Llc,"[
  ""Breach""
]",1728
Morgan Stanley International Holdings Inc,3,Citigroup Inc,China Evergrande Group,"[
  ""Protest""
]",380
Goldman Sachs Group Inc,3,Nasdaq Inc,Atossa Therapeutics Inc,"[
  ""Clinical Trial""
]",645
Goldman Sachs Group Inc,3,Atlas,Yes Bank Limited,"[
  ""Manipulation""
]",11510
Goldman Sachs Group Inc,3,Bank Of America Corp,China Eastern Airlines Corp Ltd,"[
  ""Breach""
]",171584
Goldman Sachs Group Inc,3,Verizon Communications Inc,Sprint Corp,"[
  ""Fraud""
]",11759550
Goldman Sachs Group Inc,3,Curtiss-Wright Corp,Canadian Natural Resources,"[
  ""Litigation""
]",3035
Goldman Sachs Group Inc,2,General Motors Limited,Toyota Motor Corp,"[
  ""Bankruptcy""
]",409
Goldman Sachs Group Inc,2,General Motors Limited,Halliburton Company,"[
  ""Disruption""
]",1
Morgan Stanley International Holdings Inc,3,Sysco Corp,Compass Group Plc,"[
  ""Disruption""
]",200
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Novagold Resources Inc,"[
  ""Investigation""
]",1
Jp Morgan Chase And Co,3,Drive Shack Inc,New Residential Investment Corp,"[
  ""Breach""
]",39028
Morgan Stanley International Holdings Inc,3,New Jersey Resources Corp,Alleghany Corp,"[
  ""Breach""
]",250
Coca-Cola Company,3,Wells Fargo And Company,Community Bank System,"[
  ""Fraud""
]",1194
Coca-Cola Company,3,Energy Fuels Inc,Gold Resource Corp,"[
  ""Removal""
]",780
Coca-Cola Company,3,Phoenix Tree Holdings Ltd,Imab,"[
  ""Clinical Trial""
]",18299
Coca-Cola Company,3,Tesla Inc,Sharp Corp Ltd,"[
  ""Investigation""
]",1800
Pepsico Inc,3,Regulus Therapeutics,Hera Ltd,"[
  ""Clinical Trial"",
  ""Clinical Trial"",
  ""Clinical Trial""
]",65890
Pepsico Inc,3,Sangamo Therapeutics Inc,Sanofi Sa,"[
  ""Bankruptcy""
]",178122
Pepsico Inc,2,Nasdaq Inc,Urban Outfitters Inc,"[
  ""Store Closure""
]",1
Coca-Cola Company,2,Twitter Inc,Garmin Ltd,"[
  ""Data Breach""
]",1
Pepsico Inc,3,Cigna Corp,Healthspring Inc,"[
  ""Interruption""
]",750
Pepsico Inc,3,Booz Allen Hamilton Holding Corp,Echo Global Logistics Inc,"[
  ""Fraud"",
  ""Fraud"",
  ""Investigation""
]",492
Pepsico Inc,2,Intercontinental Exchange,Varian Medical Systems Inc,"[
  ""Investigation""
]",1
Pepsico Inc,3,Alnylam Pharmaceuticals Inc,Bridgebio Pharma Llc,"[
  ""Clinical Trial""
]",3046
Microsoft Corp,2,Nasdaq Inc,Sunworks Inc,"[
  ""Breach""
]",1
Alphabet Inc,3,Deere And Company,Gap Inc,"[
  ""Sanctions""
]",45864
Pepsico Inc,3,Provention Bio Inc,Macrogenics Inc,"[
  ""Bankruptcy""
]",4305
Alphabet Inc,3,Agios Pharmaceuticals Inc,Mynd Analytics Inc,"[
  ""Clinical Trial"",
  ""Clinical Trial""
]",380
Microsoft Corp,3,Ngl Energy Partners Lp,Extraction Oil And Gas Inc,"[
  ""Bankruptcy"",
  ""Bankruptcy""
]",251
Alphabet Inc,3,Codexis Inc,Dyadic International,"[
  ""Breach"",
  ""Breach""
]",70
Alphabet Inc,2,Nasdaq Inc,Credit Acceptance Corp,"[
  ""Investigation""
]",1
Alphabet Inc,2,Google,Broadcom Ltd,"[
  ""Investigation""
]",1
Coca-Cola Company,2,Intercontinental Exchange,Garrett Motion Inc,"[
  ""Investigation""
]",1
Alphabet Inc,3,Amyris Inc,Givaudan Sa,"[
  ""Research""
]",192
Coca-Cola Company,3,Apple Inc,Gt Advanced Technologies Inc,"[
  ""Bankruptcy""
]",1036
Pepsico Inc,3,Hsbc Holdings Plc,Eclipse Resources Corp,"[
  ""Fraud""
]",10120
Coca-Cola Company,3,Southern California Edison Co,Sce Trust Ii,"[
  ""Disruption""
]",87024
Pepsico Inc,3,Medley Capital Corp,Main Street Capital Corp,"[
  ""Fraud""
]",2855
Pepsico Inc,3,Cohbar Inc,Mbt Financial Corp,"[
  ""Clinical Trial""
]",73
Pepsico Inc,3,Emergent Biosolutions,Opiant Pharmaceuticals Inc,"[
  ""Litigation""
]",24
Microsoft Corp,3,Godaddy Inc,Zurich Insurance Co Ltd,"[
  ""Litigation""
]",670
Microsoft Corp,3,Nasdaq Inc,Medidata Solutions Gmbh,"[
  ""Clinical Trial""
]",257
Pepsico Inc,3,Biopharmx Corp,Krystal Biotech Inc,"[
  ""Clinical Trial""
]",72
Pepsico Inc,3,Nanoviricides Inc,Biocryst Pharmaceuticals Inc,"[
  ""Clinical Trial""
]",104
Microsoft Corp,3,Straight Path Communications Inc,Toshiba Corp,"[
  ""Investigation""
]",20530
Microsoft Corp,3,Anaptysbio Inc,Dermira Inc,"[
  ""Clinical Trial""
]",50
Coca-Cola Company,2,Arca Biopharma Inc,Cross Timbers Royalty Trust,"[
  ""Investigation""
]",40
Microsoft Corp,3,Jazz Pharmaceuticals Plc,Stoke Therapeutics Inc,"[
  ""Clinical Trial"",
  ""Clinical Trial""
]",130
Microsoft Corp,3,Wandt Offshore Inc,Hartford Financial Services Group Inc/De,"[
  ""Removal""
]",1716
Microsoft Corp,2,Apple Inc,Netlist Inc,"[
  ""Fraud""
]",1
Alphabet Inc,3,Enanta Pharmaceuticals Inc,Sprint Corp,"[
  ""Clinical Trial""
]",192474
Alphabet Inc,3,Endologix Inc,Green Bancorp,"[
  ""Litigation""
]",29
Jp Morgan Chase And Co,3,Monolithic Power Systems Inc,Linear Technology Corp /Ca/,"[
  ""Litigation""
]",657
Coca-Cola Company,2,Goldman Sachs Group Inc,Rogers Corp,"[
  ""Protest""
]",1
Microsoft Corp,3,Jernigan Capital Inc,Principia Biopharma Inc,"[
  ""Breach""
]",33080
Microsoft Corp,3,Shire Plc,Eventbrite Inc,"[
  ""Clinical Trial""
]",1335
Jp Morgan Chase And Co,3,Handr Block Inc,Google,"[
  ""Investigation""
]",5244837
Jp Morgan Chase And Co,3,State Street Corp,Endurance International Group Holdings Inc,"[
  ""Investigation""
]",120
Jp Morgan Chase And Co,3,Alnylam Pharmaceuticals Inc,Silence Therapeutics,"[
  ""Litigation""
]",2460
Goldman Sachs Group Inc,3,Beigene Ltd,Amli Residential Properties Trust,"[
  ""Clinical Trial""
]",206
Goldman Sachs Group Inc,2,Intercontinental Exchange,Taiwan Semiconductor Manufacturing,"[
  ""Dispute""
]",1
Goldman Sachs Group Inc,2,Intercontinental Exchange,Intralinks Holdings Inc,"[
  ""Breach"",
  ""Breach""
]",360
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Spring Bank Pharmaceuticals Inc,"[
  ""Breach""
]",1
Alphabet Inc,3,Advanced Micro Devices Inc,Aib Group Plc,"[
  ""Interruption""
]",10032
Alphabet Inc,3,Bgc Partners Inc,Newmark Group Inc,"[
  ""Breach""
]",656
Jp Morgan Chase And Co,3,Syros Pharmaceuticals,Sellas Life Sciences Group Inc,"[
  ""Clinical Trial""
]",96
Jp Morgan Chase And Co,3,Macquarie Group,Compugen Ltd,"[
  ""Research""
]",13542
Jp Morgan Chase And Co,2,Intercontinental Exchange,Servicemaster Global Holdings Inc,"[
  ""Investigation""
]",1
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Nextera Energy,"[
  ""Litigation""
]",576
Jp Morgan Chase And Co,3,Apple Inc,Electronic Arts Inc,"[
  ""Breach""
]",4056
Jp Morgan Chase And Co,3,Las Vegas Sands Corp,Galaxy Entertainment Group Ltd,"[
  ""Litigation"",
  ""Litigation"",
  ""Litigation""
]",373
Jp Morgan Chase And Co,3,Qualcomm Inc/De,Parkervision Inc,"[
  ""Investigation""
]",880
Jp Morgan Chase And Co,3,American Apparel Inc,Gildan Activewear Inc,"[
  ""Bankruptcy""
]",345
Jp Morgan Chase And Co,3,Casi Pharmaceuticals Inc,Wabco Holdings Inc,"[
  ""Clinical Trial""
]",4580
Jp Morgan Chase And Co,3,Post Holdings Inc,Diamond Foods Inc,"[
  ""Removal""
]",130
Jp Morgan Chase And Co,2,Intercontinental Exchange,Spring Bank Pharmaceuticals Inc,"[
  ""Breach""
]",1
Jp Morgan Chase And Co,3,Anixter International Inc,Central European Media Enterprises Ltd,"[
  ""Breach""
]",2935
Morgan Stanley International Holdings Inc,3,Evergy Inc,Great Plains Energy Inc,"[
  ""Litigation""
]",713
Goldman Sachs Group Inc,3,Bluebird Bio,Generex Biotechnology Corp,"[
  ""Investigation""
]",72
Goldman Sachs Group Inc,3,Tyson Foods Inc,Arlington Asset Investment Corp,"[
  ""Litigation"",
  ""Litigation""
]",172116
Goldman Sachs Group Inc,3,Amarin Corp Plc,Catabasis Pharmaceuticals Inc,"[
  ""Clinical Trial"",
  ""Clinical Trial"",
  ""Clinical Trial"",
  ""Clinical Trial""
]",558
Morgan Stanley International Holdings Inc,3,Bt Group Plc,Commonwealth Bank Of Australia,"[
  ""Litigation""
]",10208
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Contura Energy Inc,"[
  ""Breach""
]",1
Goldman Sachs Group Inc,3,Suntrust Banks Inc,Special Opportunities Fund Inc,"[
  ""Breach""
]",1312032
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Western Alliance Bancorporation,"[
  ""Corporate Misconduct""
]",1
Goldman Sachs Group Inc,2,Gt Biopharma Inc,Allstate Corp,"[
  ""Clinical Trial""
]",276
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Boyd Gaming Corp,"[
  ""Shutdown""
]",1
Morgan Stanley International Holdings Inc,3,Veeva Systems Inc,Medidata Solutions Gmbh,"[
  ""Litigation""
]",174
Goldman Sachs Group Inc,3,Nasdaq Inc,Essa Pharma,"[
  ""Clinical Trial""
]",1713
Goldman Sachs Group Inc,2,Reata Pharmaceuticals Inc,Glenmark Pharmaceuticals Limited,"[
  ""Clinical Trial"",
  ""Clinical Trial""
]",42
